,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
A. Doromal,EAC,199.7499999999,18.0,87.0,20.689655172413794,11.0,51.0,21.568627450980394,7.0,36.0,19.444444444444443,7.0,17.0,41.1764705882353,50.0,4.0,21.0,25.0,26.0,18.0,6.0,1.0,7.0,15.0,14.0,-20.0,6.0,12.0
K. Gurtiza,EAC,392.8166666666,69.0,226.0,30.530973451327434,35.0,119.0,29.41176470588235,34.0,107.0,31.77570093457944,46.0,69.0,66.66666666666667,218.0,24.0,35.0,59.0,40.0,20.0,14.0,8.0,22.0,23.0,49.0,1.0,7.0,14.0
H. Pagsanjan,EAC,341.43333333350006,58.0,124.0,46.774193548387096,49.0,91.0,53.84615384615385,9.0,33.0,27.272727272727273,32.0,52.0,61.53846153846154,157.0,17.0,57.0,74.0,23.0,14.0,13.0,5.0,18.0,40.0,40.0,34.0,7.0,14.0
W. Oftana,EAC,295.65,42.0,111.0,37.83783783783784,19.0,45.0,42.22222222222222,23.0,66.0,34.84848484848485,12.0,23.0,52.17391304347826,119.0,20.0,69.0,89.0,15.0,10.0,24.0,13.0,37.0,40.0,23.0,62.0,7.0,14.0
K. Jacob,EAC,116.3666666666,13.0,23.0,56.52173913043478,13.0,23.0,56.52173913043478,0.0,0.0,0.0,7.0,16.0,43.75,33.0,6.0,17.0,23.0,3.0,3.0,5.0,0.0,5.0,7.0,16.0,54.0,5.0,8.0
V. Sarmiento,JRU,119.7,14.0,34.0,41.1764705882353,14.0,33.0,42.42424242424242,0.0,1.0,0.0,7.0,16.0,43.75,35.0,12.0,29.0,41.0,12.0,10.0,5.0,3.0,8.0,21.0,15.0,-52.0,4.0,12.0
J. Medina,JRU,123.0166666667,19.0,47.0,40.42553191489362,16.0,40.0,40.0,3.0,7.0,42.857142857142854,7.0,14.0,50.0,48.0,5.0,13.0,18.0,11.0,9.0,5.0,4.0,9.0,13.0,12.0,-12.0,2.0,8.0
L. Benitez,JRU,98.10000000010001,9.0,19.0,47.36842105263158,9.0,19.0,47.36842105263158,0.0,0.0,0.0,0.0,4.0,0.0,18.0,11.0,19.0,30.0,3.0,11.0,3.0,8.0,11.0,29.0,10.0,-27.0,3.0,9.0
M. De Leon,JRU,15.15,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,3.0,66.66666666666667,4.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,-11.0,0.0,1.0
M. Barrera,JRU,193.3666666668,36.0,73.0,49.31506849315068,30.0,51.0,58.8235294117647,6.0,22.0,27.272727272727273,13.0,15.0,86.66666666666667,91.0,7.0,9.0,16.0,11.0,8.0,3.0,3.0,6.0,13.0,15.0,-61.0,4.0,12.0
W. De Leon,JRU,122.1666666667,6.0,27.0,22.22222222222222,6.0,27.0,22.22222222222222,0.0,0.0,0.0,15.0,24.0,62.5,27.0,12.0,13.0,25.0,6.0,7.0,5.0,0.0,5.0,12.0,17.0,-28.0,4.0,13.0
J. Lozano,JRU,111.3333333332,16.0,49.0,32.6530612244898,13.0,28.0,46.42857142857143,3.0,21.0,14.285714285714286,5.0,8.0,62.5,40.0,4.0,15.0,19.0,12.0,6.0,1.0,1.0,2.0,9.0,9.0,-27.0,3.0,9.0
J. Pangilinan,JRU,183.5333333333,18.0,73.0,24.65753424657534,6.0,27.0,22.22222222222222,12.0,46.0,26.08695652173913,11.0,17.0,64.70588235294117,59.0,9.0,15.0,24.0,13.0,23.0,9.0,1.0,10.0,12.0,13.0,-62.0,4.0,14.0
R. Bernardo,JRU,127.7833333333,16.0,41.0,39.02439024390244,12.0,24.0,50.0,4.0,17.0,23.529411764705884,12.0,16.0,75.0,48.0,4.0,13.0,17.0,8.0,13.0,6.0,0.0,6.0,21.0,14.0,36.0,3.0,9.0
J. Guiab,JRU,366.8499999998,77.0,133.0,57.89473684210526,72.0,112.0,64.28571428571429,5.0,21.0,23.80952380952381,63.0,83.0,75.90361445783132,222.0,33.0,49.0,82.0,35.0,20.0,11.0,1.0,12.0,28.0,67.0,6.0,4.0,14.0
S. Mosqueda,JRU,86.76666666659999,11.0,31.0,35.483870967741936,9.0,23.0,39.130434782608695,2.0,8.0,25.0,4.0,7.0,57.142857142857146,28.0,3.0,5.0,8.0,4.0,3.0,4.0,1.0,5.0,5.0,8.0,-16.0,4.0,11.0
